İlan Başlığı,Model,Kilometre,Fiyat,Adres,Tarih
Hatasız boyasız 2020 model Skoda Superb ilk sahibinden,1.6 TDI Elite,137.0,1375000.0,Kütahya Simav,17 Kasım 2024
ZARA MOTORS DAN C.TAVAN+K.ISITMA.M.P­ERDE+H.EKRAN+G.GÖRÜŞ,1.6 TDI Prestige,155.0,1409750.0,İstanbul Esenyurt,17 Kasım 2024
2018ÇIKIŞLI+BOY­ASIZ+DEĞİŞENSİZ+­TRAMERSİZ+T.EKR­AN+K.AYNA+M.FAR,1.6 TDI Comfort,162.0,1175000.0,Antalya Manavgat,17 Kasım 2024
GALLERIANA | 2017 - PRESTIGE - BOYASIZ - 100 BİN KM'DE,1.6 TDI Prestige,100.0,1450000.0,Adana Seyhan,17 Kasım 2024
KAAN MOTORS SKODA SUPERB HATASIZ BOYASIZ EXTRALI,1.4 TSI Active,144.0,1120000.0,Tekirdağ Süleymanpaşa,16 Kasım 2024
TTN AUTO'dan CAM TAVAN HAYALET YENİ TİP DİREKSİYON SRV BAKIMLI,1.5 TSI Elite,166.0,1479000.0,Mersin Yenişehir,16 Kasım 2024
CAM TAVAN KAZASIZ DEĞİŞENSİZ SKODA SUPERB 1.5 TSİ PREMİUM,1.5 TSI Premium,118.0,1545000.0,İstanbul Esenyurt,15 Kasım 2024
DEĞİŞENSİZ *SUNROOF*LED FARLAR*2020 SUPERB PREMIUM DSG,1.5 TSI Premium,54.691,1675000.0,İstanbul Ataşehir,15 Kasım 2024
POYRAZ'DAN 2022 SKODA SÜPER B ELİTE CAM TAVAN SERVİS BAKIMLI.!!,1.5 TSI Elite,67.8,1729000.0,Elazığ Merkez,15 Kasım 2024
Hatasız Boyasız Tramersiz Dolular Dolusu Süperb,1.5 TSI Laurin&Klement Crystal,53.0,2275000.0,Ordu Ünye,15 Kasım 2024
SKODA SÜPERB 1.6 TDI PRESTİGE CAM TAVAN İÇİ BEJ ISITM ELK. BAGAJ,1.6 TDI Prestige,114.0,1589000.0,Sivas Merkez,14 Kasım 2024
*70 BİNDE 2019ÇIKIŞ SKODA SÜPERB 1.6TDI STYLE TABLET EKRAN ZENON,1.6 TDI Style,70.0,1317000.0,İstanbul Esenyurt,13 Kasım 2024
ELİTAŞ OTOMOTİV DEN İÇİ DIŞI SIFIR SÜPER_B 1.5 TSİ DSG 150 HP,1.5 TSI Premium,125.0,1610000.0,İstanbul Esenyurt,13 Kasım 2024
KY MOTORS TEK RAKAM SKODA SUPERB 2020 PRESTİGE 39.000KM,1.5 TSI Prestige,40.0,1740000.0,Ankara Yenimahalle,13 Kasım 2024
2020 HATASIZ SUPERB CAM TAVANLI YENİ DİREKSİYONLU,1.6 TDI Elite,124.0,1560000.0,Hatay Antakya,13 Kasım 2024
ŞANLI OTOMOTİVDEN SKODA SÜPERB 1.6 DİZEL/MANUEL/2016 /BEYAZ,1.6 TDI Active,352.0,850000.0,Aksaray Sultanhanı,12 Kasım 2024
2020 SKODA SUPER B 1.6TDI 128BİN KM'DE YETKİLİ SERVİS BAKIMLI,1.6 TDI Premium,128.0,1230000.0,Konya Karatay,12 Kasım 2024
2022 SUPERB 1.5 TSI PREMİUM HATASIZ 91.500KM KARTA 12 TAKSİT,1.5 TSI Premium,91.5,1645000.0,İstanbul Sancaktepe,12 Kasım 2024
2017 MODEL HATASIZ BOYASIZ 4*4 CAM TAVANLI,2.0 TDI Prestige,200.0,1499900.0,Burdur Merkez,12 Kasım 2024
"2020 SUPERB, 51.000 KM, CAM TAVAN, OTOMATİK, TRAMERSİZ, 150 HP",1.5 TSI Elite,51.0,1430000.0,Denizli Merkezefendi,12 Kasım 2024
2016 SUPERB 1.6TDİ DSG PRESTİGE KÖR NOKTA-ÇARPIŞMA ÖNLEYİCİ-,1.6 TDI Prestige,155.0,1239000.0,İstanbul Bağcılar,12 Kasım 2024
**GARANTİLİ**2021 Superb 1.5 TSI GreenTec ACT Premium DSG,1.5 TSI Premium,98.0,1315720.0,İstanbul Esenyurt,12 Kasım 2024
ARAS'tan cam tavanlı + 64 ambiance + katlanır ayna süperb,1.6 TDI Comfort,128.0,1325000.0,İstanbul Avcılar,12 Kasım 2024
2020 SKODA SUPERB 1.6 TDI ELİTE DEĞİŞENSİZ 67.000 KM,1.6 TDI Elite,67.0,1540000.0,İzmir Buca,11 Kasım 2024
ÖZDEMİR OTOMOTİV 2022 MODEL SUPERB KREDİ KARTINA 6-9-12 TAKSİT,1.5 TSI Premium,51.0,1698000.0,Konya Karatay,11 Kasım 2024
ALTUN AUTO'DAN 2018 SKODA SUPERB STYLE 115.000 KM'DE,1.6 TDI Style,115.0,1260750.0,İstanbul Esenyurt,11 Kasım 2024
!!! EN UYGUN/HATASIZ/BO­YASIZ/TRAMERSİZ /173.000KM/BEYAZ RENK !!!,1.6 TDI Premium,173.0,1345000.0,Konya Karatay,11 Kasım 2024
//OTOBOSS// 2019 SUPERB YENİ KASA İÇİ BEJ BOYASIZ 137.000KM,1.6 TDI Prestige,137.0,1825000.0,Şanlıurfa Karaköprü,11 Kasım 2024
Özen Otomotiv'den+2016 SKODA SÜPER B+ACTİVE+FIRSAT ARACI,1.4 TSI Active,249.0,705000.0,Adana Sarıçam,09 Kasım 2024
